Servidores,Clientes,Mensagens,Linguagem,Tempo M̩dio (s),Throughput (req/s),Sucessos,Erros
2,10,1,Python,0.169,59.32,10,0
2,10,10,Go,0.199,501.54,10,0
2,10,100,Python,1.174,852.07,10,0
2,20,1,Python,0.225,88.87,20,0
2,20,10,Go,0.274,730.79,20,0
2,20,100,Go,1.297,1541.78,20,0
2,30,1,Go,0.295,101.68,30,0
2,30,10,Go,0.340,882.26,30,0
2,30,100,Python,1.340,2239.01,30,0
2,40,1,Go,0.287,139.45,40,0
2,40,10,Go,0.465,861.11,40,0
2,40,100,Go,1.443,2772.73,40,0
2,50,1,Go,0.434,115.13,50,0
2,50,10,Go,0.468,1069.48,50,0
2,50,100,Go,1.468,3405.90,50,0
2,60,1,Go,0.364,164.95,60,0
2,60,10,Python,0.544,1103.60,60,0
2,60,100,Python,1.404,4274.51,60,0
2,70,1,Go,0.447,156.60,70,0
2,70,10,Python,0.591,1184.26,70,0
2,70,100,Go,1.414,4950.29,70,0
2,80,1,Python,0.534,149.70,80,0
2,80,10,Go,0.578,1383.74,80,0
2,80,100,Python,1.471,5438.56,80,0
2,90,1,Go,0.557,161.69,90,0
2,90,10,Go,0.659,1365.53,90,0
2,90,100,Go,1.495,6019.37,90,0
2,100,1,Go,0.547,182.92,100,0
2,100,10,Go,0.714,1399.79,100,0
2,100,100,Go,1.561,6406.89,100,0
4,10,1,Go,0.113,88.59,10,0
4,10,10,Go,0.201,498.69,10,0
4,10,100,Go,1.192,838.99,10,0
4,20,1,Go,0.196,101.95,20,0
4,20,10,Go,0.287,697.91,20,0
4,20,100,Go,1.303,1534.96,20,0
4,30,1,Python,0.255,117.70,30,0
4,30,10,Go,0.367,817.09,30,0
4,30,100,Python,1.379,2175.08,30,0
4,40,1,Python,0.362,110.53,40,0
4,40,10,Python,0.452,884.83,40,0
4,40,100,Go,1.429,2798.96,40,0
4,50,1,Python,0.432,115.71,50,0
4,50,10,Python,0.483,1035.59,50,0
4,50,100,Python,1.541,3245.42,50,0
4,60,1,Go,0.510,117.65,60,0
4,60,10,Go,0.568,1057.12,60,0
4,60,100,Python,1.523,3938.52,60,0
4,70,1,Python,0.457,153.29,70,0
4,70,10,Go,0.604,1158.35,70,0
4,70,100,Go,1.462,4787.05,70,0
4,80,1,Python,0.490,163.38,80,0
4,80,10,Python,0.676,1183.09,80,0
4,80,100,Python,1.533,5219.58,80,0
4,90,1,Go,0.701,128.32,90,0
4,90,10,Go,0.690,1304.78,90,0
4,90,100,Go,1.474,6105.37,90,0
4,100,1,Go,0.563,177.50,100,0
4,100,10,Python,0.702,1424.97,100,0
4,100,100,Python,1.553,6439.41,100,0
6,10,1,Python,0.137,72.77,10,0
6,10,10,Go,0.235,426.20,10,0
6,10,100,Go,1.208,827.60,10,0
6,20,1,Go,0.183,109.33,20,0
6,20,10,Python,0.277,721.00,20,0
6,20,100,Python,1.286,1555.49,20,0
6,30,1,Python,0.271,110.85,30,0
6,30,10,Python,0.354,846.88,30,0
6,30,100,Go,1.371,2188.23,30,0
6,40,1,Python,0.323,123.90,40,0
6,40,10,Python,0.392,1019.79,40,0
6,40,100,Python,1.399,2859.43,40,0
6,50,1,Go,0.363,137.92,50,0
6,50,10,Go,0.458,1091.52,50,0
6,50,100,Python,1.447,3455.65,50,0
6,60,1,Python,0.468,128.10,60,0
6,60,10,Python,0.650,923.41,60,0
6,60,100,Go,1.555,3858.68,60,0
6,70,1,Go,0.502,139.44,70,0
6,70,10,Python,1.087,644.00,70,0
6,70,100,Python,2.740,2554.32,70,0
6,80,1,Go,0.866,92.40,80,0
6,80,10,Python,0.627,1276.34,80,0
6,80,100,Go,1.598,5007.39,80,0
6,90,1,Python,0.709,126.88,90,0
6,90,10,Python,0.690,1304.12,90,0
6,90,100,Go,1.618,5561.61,90,0
6,100,1,Python,0.480,208.34,100,0
6,100,10,Python,0.582,1718.04,100,0
6,100,100,Go,1.700,5883.25,100,0
8,10,1,Go,0.115,86.65,10,0
8,10,10,Python,0.207,484.18,10,0
8,10,100,Go,1.197,835.72,10,0
8,20,1,Python,0.203,98.34,20,0
8,20,10,Go,0.289,692.26,20,0
8,20,100,Go,1.305,1532.25,20,0
8,30,1,Go,0.257,116.92,30,0
8,30,10,Python,0.327,917.32,30,0
8,30,100,Go,1.433,2093.46,30,0
8,40,1,Python,0.329,121.53,40,0
8,40,10,Python,0.475,841.75,40,0
8,40,100,Python,1.454,2750.24,40,0
8,50,1,Go,0.366,136.46,50,0
8,50,10,Go,0.473,1058.15,50,0
8,50,100,Python,1.597,3131.70,50,0
8,60,1,Go,0.456,131.64,60,0
8,60,10,Go,0.485,1236.20,60,0
8,60,100,Python,1.450,4137.52,60,0
8,70,1,Python,0.687,101.90,70,0
8,70,10,Python,0.570,1228.18,70,0
8,70,100,Go,1.449,4830.88,70,0
8,80,1,Go,0.449,178.36,80,0
8,80,10,Python,0.513,1558.54,80,0
8,80,100,Go,1.471,5438.32,80,0
8,90,1,Python,0.463,194.30,90,0
8,90,10,Python,0.559,1610.53,90,0
8,90,100,Python,1.505,5979.54,90,0
8,100,1,Go,0.606,164.90,100,0
8,100,10,Python,0.627,1595.69,100,0
8,100,100,Python,1.650,6061.61,100,0
10,10,1,Go,0.123,81.30,10,0
10,10,10,Go,0.207,482.62,10,0
10,10,100,Go,1.220,819.88,10,0
10,20,1,Python,0.193,103.83,20,0
10,20,10,Go,0.311,642.76,20,0
10,20,100,Go,1.301,1536.99,20,0
10,30,1,Go,0.372,80.71,30,0
10,30,10,Python,0.362,829.81,30,0
10,30,100,Go,1.404,2137.06,30,0
10,40,1,Python,0.413,96.82,40,0
10,40,10,Go,0.399,1002.78,40,0
10,40,100,Go,1.531,2612.37,40,0
10,50,1,Python,0.412,121.26,50,0
10,50,10,Go,0.584,855.88,50,0
10,50,100,Go,1.727,2895.00,50,0
10,60,1,Python,0.631,95.02,60,0
10,60,10,Python,0.552,1087.76,60,0
10,60,100,Python,1.561,3844.62,60,0
10,70,1,Go,0.499,140.38,70,0
10,70,10,Go,0.509,1376.52,70,0
10,70,100,Python,1.519,4607.31,70,0
10,80,1,Python,0.577,138.54,80,0
10,80,10,Go,0.606,1321.21,80,0
10,80,100,Go,1.565,5112.36,80,0
10,90,1,Python,0.637,141.21,90,0
10,90,10,Python,1.117,805.99,90,0
10,90,100,Python,2.044,4403.59,90,0
10,100,1,Python,1.026,97.49,100,0
10,100,10,Go,0.937,1067.15,100,0
10,100,100,Go,2.135,4684.75,100,0
